Chinese Sentence,Chinese NER Tagged
"相反的 如果有人给我发攻击信 -- 我每天都会收到 -- 我会说 ""滚蛋""",[]
这就是我的小秘密 别告诉其他人,[]
要点是 这是个真正有趣的故事,[]
这是软件的第8个版本 你知道他们在第8个版本里放了什么吗?,[]
没有新特性 这在软件史上从未发生过!,[]
他们没有加入新特性 他们只是说,[]
"“我们要让软件工作正确."" 是的",[]
"因为多年来人们买了这套软件 尝试使用 -- 发现只能达到95%的准确率 也就是20个单词里就有1个错的 于是人们把它收进抽屉 让那公司很郁闷 于是他们说 ""这个版本, 除了让它变得非常正确以外",[]
"我们不会做任何事.""",[]
于是他们做到了. 这种把事做正确的信仰也在开始传播,[]
我的最终建议 对于你们中那些消费者: 记住 如果产品不工作 那不一定是你的错,[]
可能是设计上的问题,[]
在生活中留意好的和不好的设计,[]
如果你是创造东西的人 要做到简单很难,[]
让你的受众预热细节. 计算点击数,[]
记住 难的不是决定加入什么特性 -- 而是决定拿掉什么,[]
最好你的动机是: 至简畅销,[]
CA: 赞 DP: 谢谢,[]
CA: 非常同意,[]
库尔特安德森：跟很多建筑师一样，大卫很想成为关注的焦点， 但是他又太沉默--至少是假装这样吧-- 以至他要求我向他提问而不是自己讲述。,"[('库尔特安德森', 'nr', 0, 1), ('大卫', 'nr', 7, 8)]"
实际上，我们今天要讨论的这个话题， 在我看来通过谈话的方式 比演讲的方式讲述也许更好。,[]
我们先来看一段新闻短片。,[]
丹拉瑟: 从911世贸中心被袭击之后， 很多人都涌进纽约市区 那个16英亩的墓地来凭吊死者。,"[('丹拉瑟', 'nr', 0, 1), ('911世贸中心', 'nt', 3, 6), ('纽约', 'ns', 14, 15)]"
现在，正如哥伦比亚广播公司的记者吉姆艾克斯罗德报道的，那些工人正在为一条新的通道做最后的装修。 这条新通道是专门供人参观现场的。,"[('哥伦比亚广播公司', 'nt', 4, 7), ('吉姆艾克斯罗德', 'nr', 9, 10)]"
吉姆艾克斯罗德： 除了帝国大厦和自由女神像之外，,"[('吉姆艾克斯罗德', 'nr', 0, 1)]"
在纽约又有了个新地方 它是现在人群最拥挤的地方——世贸废墟中心。,"[('纽约', 'ns', 1, 2)]"
游客： 我把我的继女从印第安纳波利斯带到这里了。,"[('印第安纳波利斯', 'ns', 8, 9)]"
在纽约市众多的旅游景点中， 这是她的首选。,"[('纽约市', 'ns', 1, 2)]"
吉姆：现在成千上万的人正在下百脑汇街排队。,"[('吉姆', 'nr', 0, 1), ('百脑汇街', 'ns', 8, 9)]"
游客： 自那事故以来，我一直想来这里看看。,[]
吉姆： 即使在最寒冷的冬天。,"[('吉姆', 'nr', 0, 1)]"
为了悼念和铭记。,[]
游客： 它是真实发生的，就发生在我们身上，就发生在这里。,[]
这是我们共同的苦难。,[]
吉姆： 事实上，人太多了，以至来这里凭吊已经 存在一些小问题。,"[('吉姆', 'nr', 0, 1)]"
游客： 我想人们都很沮丧， 因为他们不能靠得更近看看到底是怎样的情况。,[]
吉姆： 但是这个将会得到改变。,"[('吉姆', 'nr', 0, 1)]"
以创纪录的速度， 一支由建筑师和建筑工人组成的队伍 设计并建造了一个观景台来缓解这种沮丧-- 可以让人们走的更近了。,[]
某男子： 人们将会看到一个难以置信的场景。 我想人们可以更加深刻的感受到， 世贸中心倒塌后的整体面貌。,[]
吉姆： 如果你稍微想想，你会发现世贸废墟中心并不像 美国其他绝大多数的旅游景点。,"[('吉姆', 'nr', 0, 1), ('废墟中心', 'nt', 11, 13), ('美国', 'ns', 16, 17)]"
不像大峡谷和华盛顿山， 人们来到这里只是为了来看已经消失的东西。,"[('华盛顿', 'ns', 4, 5)]"
大卫洛克威尔：人们看到这个的时候，第一个感受会是， 这个不像是个建筑工地， 而是一个难以置信的移动墓地。,"[('大卫洛克威尔', 'nr', 0, 1)]"
吉姆： 那些墙被设计成光秃秃的。这样人们可以在上面写上 他们自己的悼词，就像他们已经在 周围写的那样。,"[('吉姆', 'nr', 0, 1)]"
游客： 这些悼词深深触动了我们的心扉。,[]
吉姆： 那些斜坡是用简单的材料搭建而成的-- 就是你在建筑工地可以看到的那种夹板-- 这个就是真正的重点。,"[('吉姆', 'nr', 0, 1)]"
在面对美国所遭受的最严重的破坏的同时， 人们又开始重建。,"[('美国', 'ns', 2, 3)]"
吉姆·阿克吉姆艾克斯罗德，哥伦比亚广播公司，在纽约报道。,"[('哥伦比亚广播公司', 'nt', 2, 5), ('纽约', 'ns', 7, 8)]"
库尔特： 这个观景台并不是一个明显注重感官享受的建筑， 但是大卫，众所周知--我知道你讨厌这个词-- 你是一个娱乐场所建筑师。,"[('库尔特', 'nr', 0, 1), ('大卫', 'nr', 17, 18)]"
你的作品都是很注重感官享受， 甚至是追求享乐主义的。,[]
大卫： 我喜欢这个词。,"[('大卫', 'nr', 0, 1)]"
库尔特： 好吧。 你的作品都是关于享受的--像赌场，酒店和餐厅。,"[('库尔特', 'nr', 0, 1)]"
对于我们--尤其是我们纽约人 911所带来的震惊 是怎么促使你改变从而渴望去做这样一件事情的呢？,"[('纽约', 'ns', 7, 8)]"
大卫： 其实真实的原因是这样的。 911之后， 我去感受我自己原本真实的角色-- 首先我住在特里贝卡， 我的街坊邻居都被毁坏了， 而且我还在离世贸中心不到一英里的地方上班-- 在我的公司里，我曾经要求100个人和我一起工作， 一起怀着同样的热情 去创造我们一直以来创造的那些建筑。,"[('大卫', 'nr', 0, 1), ('特里贝卡', 'ns', 27, 28)]"
事实上，我们将要完成一本可以称之为“享乐”的书， 内容是关于空间的感官享受。,[]
但是我想告诉你--这本书变得不可能完成。,[]
我们几乎都瘫痪了。,[]
就在911后的礼拜五-- 也就是事情发生两天之后-- 我发现自己基本上不能激励任何人去做任何事了。,[]
我们只好给员工放了几天假。,[]
再跟其他的一些建筑师讨论这个问题的时候， 我们发现人们在媒体上说 那些塔楼应该按原来的样子重建起来-- 甚至要比原来还要高50层。,[]
在我看来，真是令人吃惊的想法， 你可以想象这就像一场竞赛， 就在我们刚刚受伤的伤口上竞赛。,[]
对于这个我有过一系列的讨论-- 首先和里克斯科菲迪奥和利兹迪勒，他们和我合作建造这个项目， 还有一些其他人-- 我真的觉得我们必须找到共同点来一起做点什么。,"[('里克斯科菲迪奥', 'nr', 12, 13), ('利兹迪勒', 'nr', 14, 15)]"
对于建筑师来说，最终施与帮助的方式 不是武断的发表意见或者虚构一些方案， 而是立刻采取实质性的行动。,[]
所以我们尝试采用一种方式， 像一个整体，组成一支类似特警一样的设计团队。,[]
这个就是我们提出来的任务。,[]
库尔特： 你是突然意识到-- 作为一个一直去满足人们欲望的设计师-- 转而去满足人们的需要吗？,"[('库尔特', 'nr', 0, 1)]"
大卫： 坦白讲，我所知道的是， 有种马上采取行动的迫切需求。,"[('大卫', 'nr', 0, 1)]"
在这之前，我们就被邀请参与一些项目。,[]
有个原本在世贸废墟中心的叫PS 234 的学校被疏散了。,"[('世贸废墟中心', 'nt', 4, 7)]"
他们搬迁到一个废弃的学校。,[]
我们找到2，30个建筑师，设计者和艺术家， 花了超过4天的时间--就像这个城市的房屋建造一样-- 去翻新那个学校。每个人都想帮忙。,[]
确实非同一般。,[]
汤姆奥特尼斯做出了贡献，迈拉卡尔曼也做出了贡献。 对于我们来说，这个成了一次很痛快的经历。,"[('汤姆奥特尼斯', 'nr', 0, 1), ('迈拉卡尔曼', 'nr', 5, 6)]"
库尔特：那个项目最后很有效率的完成了，只花了3个礼拜的时间-- 差不多在10月8号之前，是吗？,"[('库尔特', 'nr', 0, 1)]"
大卫： 是的。,"[('大卫', 'nr', 0, 1)]"
库尔特： 很明显，在试图建造 这个实质性的项目的同时你会面对很多事情--短片上看到的只是 你设计的环绕废墟四周的观景台的四分之一-- 你一定遇到不少困难吧， 在同那些关系复杂又盘根错节的官僚和权力部门 纽约房地产界和政界打交道的时候？,"[('库尔特', 'nr', 0, 1), ('纽约', 'ns', 58, 59)]"
大卫： 确实是件很有趣的事情。,"[('大卫', 'nr', 0, 1)]"
我们完成PS 234 的项目之后，同一个小组一起吃了晚饭。,[]
实际上我被邀请担任友邦保险有限公司重建委员会的主席。,"[('友邦保险有限公司重建委员会', 'nt', 5, 11)]"
之后我参加了一些会议。,[]
很多冗长的宏伟计划被提出来， 都是与长期的基础建设和整个城市的重建相关。,[]
实际的问题是，有很多紧迫的创伤和需求需要被抚慰和满足。 其中有个谈话是关于广泛性的，他们希望重建是一个广泛性的进程。,[]
然而它并不是一个广泛代表性的组织。,[]
所以我们说，什么是-- 库尔特： 它不是一个广泛性的组织？,"[('库尔特', 'nr', 8, 9)]"
大卫： 它不是。,"[('大卫', 'nr', 0, 1)]"
它是由白人，富人和公司集团组成的组织 几乎不具有城市代表性。,[]
库尔特： 令人吃惊！,"[('库尔特', 'nr', 0, 1)]"
大卫： 确实很令人吃惊。,"[('大卫', 'nr', 0, 1)]"
所以里克，利兹和我想出了那个方案。,"[('里克', 'nr', 1, 2), ('利兹', 'nr', 3, 4)]"
实际上是市政府先找到我们说这个事情。,[]
我们开始找到市政府是谈论94号码头的事。,[]
因为我们已经看到了PS 234 的项目是怎么做的。,[]
而那些家属--遇害者的家属-- 都去那个码头，选择这个地方是非常不合理的。,[]
库尔特：在亨登河？,"[('库尔特', 'nr', 0, 1), ('亨登河', 'ns', 3, 4)]"
"大卫： 是的。市政府实际上--一开始通过蒂姆扎加特， 然后通过克里斯特尼尼古拉斯, 最后我们找到朱利安尼市长-- 他说我们暂时不想对94号码头做什么事情， 但是如果我们能在世贸废墟中心给那些家属提供一个观景台， 那将是给那些家属们一个更加人性化的体验， 可以让他们避免风吹日晒。","[('大卫', 'nr', 0, 1), ('蒂姆扎加特', 'nr', 11, 12), ('克里斯特尼', 'nr', 15, 16), ('尼古拉斯', 'nr', 16, 17), ('朱利安尼', 'nr', 21, 22), ('世贸废墟中心', 'ns', 44, 47)]"
所以我同里克，利兹和凯文去了那里。 我不得不说，这是我生命中最感动的一次经历。,"[('里克', 'nr', 3, 4), ('利兹', 'nr', 5, 6), ('凯文', 'nr', 7, 8)]"
看着简单的夹板和围栏搭成的平台，真是很让人触动 上面还有遇害者的家属留下的话语。,[]
在我们和这里的一切经历中无需任何调节,[]
没有任何的过滤。,[]
我记得9月11号，在14号街， 我们的楼房屋顶上--我们可以清晰的看到世贸大厦-- 那时我看到了第一栋楼房倒塌 就在8楼会议室安装的电视上。,"[('世贸大厦', 'ns', 22, 24)]"
然后所有人都跑到屋顶上，我也跑上去了。,[]
真的非常令人惊讶， 比起在电视上看到的场景，真的很难相信它会在现实生活中发生。,[]
有种关于过滤的安慰。 在我们和现实体验之间有太多的信息。,[]
所以说通过这种简单 而又威严的方式观看是一种非常强大的体验。,[]
所以后来我们又回到市政府那里，跟他们说， 我们现在对把94号码头升级成贵宾看台的想法一点兴趣都没有， 但是我们确实在这件事上花了些时间。,[]
同时市政府也有这样的需要。,[]
"他们想要找到一个方案 去处理每天3,4万 去那里又没有其它地方可去的人群。",[]
同时他们也没有办法去控制废墟周围的交通。,[]
所以解决这个问题成了一个迫在眉睫的总体规划。,[]
那里应该有一个通道--而且必须有个通道-- 让人们在废墟周围移动起来。,[]
库尔特： 但是之后你必须找出一个办法-- 我们就跳过那些获得批准 和让每个人各就各位的令人疯狂而厌烦的过程--简单来讲关于钱这个事情。,"[('库尔特', 'nr', 0, 1)]"
虽然看上去是个相当简单的事情， 但是怎么说这差不多也是个50万美元的项目吧？,[]
大卫： 确实。我们知道如果没有私人出资的话， 它将没法实现。,"[('大卫', 'nr', 0, 1)]"
坦白来讲，我们也知道如果不能 在朱利安尼市长任期内启动， 我们得重新和那些政府人员打交道， 包括交通部，警察局，所有这些政府部门的人-- 我们每次开会的2，30个政府部门的人一起。 后来是应急管理办公室启动了这个项目。,"[('朱利安尼', 'nr', 10, 11), ('交通部', 'nt', 26, 27)]"
对于他们来说确实是个很好的举措，因为他们真的很需要这个， 而且他们察觉到这个势在必行。,[]
库尔特： 因此就有了这个时间截点了？ 我们知道朱莉安尼在那3个月后就离任了。,"[('库尔特', 'nr', 0, 1), ('朱莉安尼', 'nr', 13, 14)]"
大卫： 是的。 所以我们要做的第一件事情就是通气-- 我们必须和遇难者家属一起 通过市政府，来确保他们都知道这个项目。,"[('大卫', 'nr', 0, 1)]"
因为我们不想这个项目让大家觉得突然。,[]
而且我们还得在纽约尽可能的低调行事， 因为关键是不要引起很多的反对声音， 某种程度上尽可能悄悄地工作。,"[('纽约', 'ns', 5, 6)]"
我们想到建立基金， 主要是因为当我们找到一个可能承建这个项目的承包商的时候， 他很可能不会同意做这个项目，即使我们会支付费用给他。,[]
所以我们需要一个基金。,[]
于是我们就建立了一个基金，实际上主要是 纽约一个大开发商-- 库尔特： 我猜是谁甘愿隐姓埋名呢？,"[('纽约', 'ns', 11, 12), ('库尔特', 'nr', 17, 18)]"
大卫： 他的名字首字母是JS，而且他拥有洛克菲勒中心， 希望这个可以帮大家猜猜--他志愿帮助我们。,"[('大卫', 'nr', 0, 1), ('洛克菲勒中心', 'nt', 13, 15)]"
后来我们和他见面。,[]
承包商们的报价从5美元到70万美元都有。,[]
而美国最大的脚手架承包商亚特南迪克海特， 志愿以成本价承建这个项目。,"[('美国', 'ns', 1, 2), ('亚特南迪克', 'nr', 7, 8)]"
所以那个大开发商说：“你知道吗，我们会支付整个费用。”,[]
而我们说：“真是好极了！”,[]
我想那天是21号， 而我们知道这个观景台必须在28号之前完工。,[]
我们必须在第二天就开始建造。,[]
那天晚上我们跟那个承包商开了个会， 那个承包商展示了观景台的草图， 可是它只有我们设计的一半大小。,[]
库尔特：我猜有点像脊椎塔里的场景， 从那里可以看到微小的巨石阵？,"[('库尔特', 'nr', 0, 1)]"
大卫： 实际上，它就像一个为擦窗户准备的脚手架。,"[('大卫', 'nr', 0, 1)]"
一点都不符合当时的场景--紧挨着圣保罗教堂-- 那是一个需要庄严的地方， 一个需要尊重和纪念的地方。,"[('圣保罗教堂', 'ns', 11, 13)]"
我不得不说我们花了那么多时间 把这个搭建起来，看着那些聚集在圣保罗大教堂的拥挤的人群-- 正好在右边--在废墟周围移动,"[('圣保罗大', 'ns', 19, 21)]"
我住在那里，所以我们花了很长的时间去了解人们的需要。,[]
我想人们会因为两个事情而感到震惊-- 他们会因破坏而感到震惊， 但是我想人们也会因怀疑 纽约人感人的英雄主义而感到震惊。,"[('纽约', 'ns', 29, 30)]"
就是某种纽约人的日常的英雄主义。,[]
所以在那个会议上，那个承包商着字着句的说， “我要把门锁起来，因为开发商 不会同意在你们签订这个合约之前放你们走的。”,[]
而我们说：“但是这只有一半大小， 也没有我们之前同意的任何设计特色 包括城市里的每一个人。,[]
我们必须从头开始做这个项目。”,[]
最后我说服了他，在我们离开会议室之前 我们达成一致，按照原先的设计重新建造。,[]
第二天我收到开发商的邮件， 他说要撤掉所有的资金。,[]
我们不知道怎么办， 但是我们决定要撒一张大网。,[]
我们给尽可能多的人发了邮件-- 包括很多在场的听众--他们都提供了很好的帮助。,[]
库尔特： 那个时候就没有想过要放弃吗？,"[('库尔特', 'nr', 0, 1)]"
大卫： 没有。事实上，我告诉那个承包商继续施工。,"[('大卫', 'nr', 0, 1)]"
他也已经按照我的要求订购了材料。,[]
我们知道不管怎么样，这个项目总会完成。,[]
我们只是觉得它必须完成。,[]
库尔特： 后来你就自己出资，连同一些捐助和这个基金完成这个项目。,"[('库尔特', 'nr', 0, 1)]"
我记得理查德 在刚开始就提到-- 就是在所有的项目首席设计师意识到之前-- 他说一直以来首席设计师 对这种很平常的设计问题都追求一种审美方案。,"[('理查德', 'nr', 2, 3)]"
但是对我来说， 这个项目却恰恰相反。,[]
因为这是个前所未有的，独一无二的设计问题。,[]
大卫： 确实，这就是问题所在。 我们知道这个项目确实没有审美的特色-- 我们考虑了这个遗址，考虑到人们可能需要一种纪念碑一样的东西。,"[('大卫', 'nr', 0, 1)]"
但是有一点很重要，这个项目不是一种纪念物。,[]
而是供人们来凭吊和纪念的场所-- 很肃穆的场所。,[]
这就使得我们选用了这种设计方案， 尽可能少的在观众和真实的体验之间产生过滤-- 就像我们之前说的家属看台一样。,[]
这个看台全都是用难以置信的普通的材料，,[]
就是脚手架和夹板。,[]
它可以使得观众移动起来， 可以上到圣保罗教堂那边然后从另一边下去。 它提供了300英尺长的通道，并可以把你带到离地13英尺的高度， 从那里可以看到360度的视角。,"[('圣保罗教堂', 'ns', 10, 12)]"
但是这个设计一直考虑到快速，廉价，安全，庄严和灵活性方面的需求。,[]
这其中的一个要求就是可以移动。,[]
因为当我们看到废墟周围的四个平台， 其中一个是从家属看台更新而来的， 所以我们考虑到这些必须可以移动， 来应对不停改变的环境， 和对于世贸废墟中心是什么的这种定义的改变。,[]
库尔特： 你的作品--我们之前已经讨论过这个问题-- 我想很多你的作品都是基于你的一种信念，或者说你专注于 表现所有事物的临时性和短暂性。 像“吃，喝，享乐，因为我们明天可能就会死”， 这种及时行乐的观念。,"[('库尔特', 'nr', 0, 1)]"
而这明显不是一个会长久存在的作品。,[]
你知道，很多年之后，这个东西将不会存在了。,[]
作为一个建筑师， 这会要求你重新思考你那时正在做的东西吗？,[]
去把它作为一个纯粹的临时性的建筑来考虑？,[]
大卫： 我不这样认为。,"[('大卫', 'nr', 0, 1)]"
在我看来，这个是有实质性的不同 相对于我们之前做的任何项目比起来,[]
一般来讲，除了对于我们工作的一些想法之外， 还有一个重要的概念--就是以某种方式联合起来一起把事情完成的概念。,[]
"凯文肯农，里克斯科菲迪奥,利兹迪勒 和城市里的所有人-- 诺曼李尔, 在我们寻找资金的截止日期前的4个小时，我在跟他谈话， 他提供我们短期过度贷款来帮我们顺利度过难关。","[('凯文肯农', 'ns', 0, 1), ('里克斯科菲迪奥', 'ns', 2, 3), ('利兹迪勒', 'nr', 4, 5), ('诺曼李尔', 'nr', 13, 14)]"
回到前面说的合作的概念-- 我想这个例子更加印证了这个概念的重要性。,[]
对于你所说的短暂性， 我们的目标不是去建造一个 比对它的实际需求还要长的建筑。,[]
我想我们最感兴趣的是促进一种关于这个城市正在发生的事情的对话， 我觉得这种对话目前在这个城市还不够。 它是关于这个城市正在发生的事情的。,[]
在这个观景台开放的前一两天，正好是朱利安尼的离任致辞， 他提出一个想法，把整个世贸废墟中心建成一个纪念碑。,"[('朱利安尼', 'nr', 12, 13)]"
虽然这个想法引起了很大的争议，但是它也在很多人之间引起了共鸣。,[]
我想不管那个地方是关于什么， 不管这片神圣的土地将作何用途， 只要让人们的想法产生碰撞， 这就成了一个非常强有力的对话。,[]
而这个就是我们所感兴趣的。,[]
所以说，也是属于 我之前一直感兴趣的领域。,[]
库尔特： 在我看来，跟其他的建筑物相比，这是一件很可爱的市政基础建设。,"[('库尔特', 'nr', 0, 1)]"
它使对话变得严肃。,[]
就在袭击之后的6个月-- 也就是废墟被清理干净后的几个月-- 我们就很快的让 关于在废墟上建什么的谈话变得严肃而认真。,[]
作为一个建筑师，已经深入到废墟现场， 去做这个项目，那么关于这个废墟--你有没有什么建议关于 应该做什么，不应该做什么？,[]
大卫： 我想有一件事情是不应该做的，那就是评价-- 我发现现在的讨论都非常接近关于总体规划的讨论。,"[('大卫', 'nr', 0, 1)]"
最近普罗德施画廊举办了一个关于建筑理念的展览， 那里有些很新的建筑理念。,"[('普罗德施画廊', 'ns', 1, 3)]"
库尔特： 但是也有很多糟糕的理念。,"[('库尔特', 'nr', 0, 1)]"
大卫： 它有点像个观念的竞赛， 我想理念的焦点应该放在总体的规划和使用上。,"[('大卫', 'nr', 0, 1)]"
我想应该有一个更加宽广的思路--就像正在开始改变的那样。 对话真的正在展开， 关于这个废墟到底应该变成什么？,[]
我坚持认为，除非关于建纪念碑的想法被放弃了， 不然很难有什么明智的讨论。,[]
现在有一些讨论我觉得非常的可行， 关于降下西边高速公路，然后把这里连接起来， 这样就有一个不受干扰的地方了。,[]
库尔特： 这个想法很有趣。,"[('库尔特', 'nr', 0, 1)]"
它让我想起另外一个问题，可能并不是很合适 在六个月前讨论，但是现在也许可以了。 我们很多人并不喜欢这个城市里有世贸中心这个建筑， 还有那个巨大的广场。,[]
你觉得现在是一个机会吗-- 很有希望的机会--去重建 一些更加传统的城市建筑？,[]
大卫： 我想这倒真是一个机会开始讨论 我们为什么居住在城市。,"[('大卫', 'nr', 0, 1)]"
为什么我们住在这样一个地方，如此不一样的人 每天彼此之间都有很多冲突？,[]
我不认为新建5万，6万，7万，或者8万新办公室有多少意义， 不管你建多少。,[]
所以说，这是一个机会，重新审视我们是怎样看待城市。,[]
事实上，已经有一个方案在讨论，是关于新建7号楼的。,[]
库尔特： 就是世贸塔楼北边的那个建筑？,"[('库尔特', 'nr', 0, 1)]"
大卫： 对的，塔楼正好倒在它的上面。,"[('大卫', 'nr', 0, 1)]"
之所以一直耽搁主要是因为来自于社区居民的愤怒 他们一直关闭街道。 这个街道是连接城市的。,[]
所以我想要一个公开的对话--你知道的， 我想看到一个国际化的竞争， 来征集建设方案。,[]
库尔特： 不论它是艺术品，房屋， 还是大量的商场吗？,"[('库尔特', 'nr', 0, 1)]"
大卫： 对的。我们正在探索其他的东西。,"[('大卫', 'nr', 0, 1)]"
我们所建立的这个小基金正在寻求其他能够帮助的方式。,[]
比如，在废墟附近找块小地方， 邀请10个目前在纽约还没有声望的建筑师 来作为艺术家住房。,"[('纽约', 'ns', 15, 16)]"
同时寻找其他的方式鼓励更多的讨论 来反对单一的方案， 我们需要更多关于事物的多样性。,[]
库尔特： 在我们结束之前，我知道你还有一个短片要展示 是关于在这个观景台上的真实体验的,"[('库尔特', 'nr', 0, 1)]"
大卫： 约翰卡门--就是短片上这个人--做了一个 2分半钟的短片来展示这个看台。,"[('大卫', 'nr', 0, 1), ('约翰卡门', 'nr', 2, 3)]"
所以我认为这是个很好的结束方式。,[]
大卫： 我们正从富尔顿街的西面看过去。,"[('大卫', 'nr', 0, 1), ('富尔顿街', 'ns', 5, 6)]"
在我们和朱利安尼之间有个很有意思的问题， 我之前忘记了朱利安尼非常反对涂鸦。,"[('朱利安尼', 'nr', 3, 4), ('朱利安尼', 'nr', 16, 17)]"
而实质上我们的建筑就是用来涂写的。,[]
库尔特： 就像你说的，它不是一个纪念碑。,"[('库尔特', 'nr', 0, 1)]"
但是你之前有考虑过纪念碑吗？比如越战纪念碑？,[]
这之类的一些形式？,[]
大卫： 我们当然是做了尽可能多的研究， 我们也关注过其他的一些纪念碑。,"[('大卫', 'nr', 0, 1)]"
我们研究了它们的复杂性和实际上花费的时间。,[]
实际上是因为俄克拉何马州的委员会上的350个人， 让我们觉得这个应该是自己组织的，自发的方案 来作为联合广场的延伸 也是这个城市里一个自发组织的纪念碑。,"[('俄克拉何马州', 'ns', 3, 4)]"
你可以看到建在那个街道上方的脚手架，它是可以拆卸的。,[]
有趣的是，现在那个废墟的自然面貌已经彻底改变了， 以至你们现在所注意到的 不是在世贸中心的一些倒塌建筑物的碎块， 而是围绕在废墟周围的建筑-- 和它周围建筑上的伤痕，那些巨大的伤痕。,[]
这左边就是圣保罗教堂。,"[('圣保罗教堂', 'ns', 3, 5)]"
库尔特： 感谢你代表纽约人 能够促成这件事情。,"[('库尔特', 'nr', 0, 1)]"
但是对于这个建筑的瞬时性， 和它的存在， 甚至在你可以相信 如此宏大的一个项目可以被完成之前， 我想这些就是它的非凡特性的一部分-- 我不知道用美丽这个词是不是合适-- 但是对于它的意义来讲完全合适。,[]
大卫： 能做这个项目也是我的荣幸。,"[('大卫', 'nr', 0, 1)]"
我们也很激动能够在这里展示给大家。,[]
就像你们所说的，每一次来到这里都会学习到一些东西。,[]
今天早上，来自几家座椅公司的 得到的最终结论是：人们不应坐下来，要继续前进。,[]
我早应该告诉他们的。,[]
昨天几个汽车行业的人提出来新观点，,[]
他们相信，三十到五十年后， 就可以用电线来驾车， 而不需要那些机械装置了。,[]
这真让人放心。,[]
他们接着又说一些其他装置都可用电线操作， 就不需要机械部分了。,[]
这很好，那为什么不除掉电线呢？,[]
那么就只需意念就可以开车了。,[]
我想谈一下科技， 十五分钟后， 和在座的科技发烧友们谈一下 这个领域未来会发生什么。,[]
可在此之前，我要说， 从技术发展开始， 重要的不是技术本身，,[]
当然，当我们把科技应用到iBOT上去为残障社团服务时， 这是很重要的。,[]
但我觉得现在的问题是， 用一个简单的方案来解决交通系统里的一个重大问题。,[]
从一方面来看：有很多的数据 我很乐意以不同的形式向你展示。,[]
都不知道为什么， 大家都那么相信汽车改变了世界。,[]
大概一百年前，福特开始生产T型车,[]
我觉得人们不会想的是 科技被应用的背景,[]
比如说当时百分之九十一的美国人 住在农村和小镇,[]
所以汽车 也就是替代马车的无马车，是十分重要 它的速度比马车多一倍,[]
车身比马车短一半,[]
它还改善了环境卫生，因为 在1903年曼哈顿的城区已经禁行马车了， 你可以想像那些马路的模样 当路上有很多马 而且他们都在撒尿或干别的 会酿成无数伤寒症，还有别的问题,"[('曼哈顿', 'ns', 11, 12)]"
所以汽车是令环境更卫生的交通工具,[]
汽车也是让人可以来往农庄之间 走进市镇的工具,[]
这给百分之九十一的人口带来了方便。,[]
到了20世纪50年代，我们修建高速公路系统把所有的城镇连接起来， 这被许多人称之为世界第八大奇迹。,[]
这当然是个奇迹。,[]
同时，因为我对旧技术感兴趣 我想向各位保证——尤其是 十分支持我们的汽车业： 我不认为这个发明会与飞机或汽车竞争,[]
但请想想目前的世界状况,[]
世界上有一半人口正住在城市里,[]
足足是三十二亿人,[]
所有交通问题都已被解决 这些问题改变了这个世界，把它塑造成了现在的样子。,[]
五百年前，已发展成熟的航海技术 让我们发现新大陆,[]
一百五十年前，蒸汽火车效率高得 让我们把一片大陆发展成一个国家,[]
在上世纪，我们开始制造汽车 让我们在以后的半个世纪以高速地 把所有城市都连接起来 因此我们的生活质素也大大改善,[]
但与此同时，越来越多婴儿出生 越来越多人迁居城市,[]
在未来十五年，单是中国就有 四至六亿人会迁入城市,"[('中国', 'ns', 7, 8)]"
因此，没有人会否认在以往五十年间 飞机把大陆和国家转化为一个社区,[]
如果观察科技如何被实践 我们已经解决了运输过程中的 长距离，高速度，大容量，超重量的问题。,[]
没有人会想舍弃这些技术,[]
当然，我也舍不得我的飞机 直升机、悍马或保时捷,[]
虽然我不把它们放在家中，我还是很喜欢它们,[]
事实是，问题是在最后路段 当一半人口现居于城中,[]
而且因人而异的 人们差不多耗费了花九成至九成半体用于步行,[]
我不知道怎样的数据才能让你感到震撼 美国大城市里的汽车消耗掉了 全球百分之四十三的精炼燃油,"[('美国', 'ns', 11, 12)]"
每年有三百万市民死于空气污染 几乎地球上所有粉尘污染 都是源于交通工具，尤其市区里的,[]
还有，我不是要攻击任何行业 我真的很喜欢我的飞机 还有在高速公路上以每小时六十英里奔驰着的车子 效率是超然的 以上两点都是从工程 能源消耗和效益角度上出发,[]
我们都爱自己的车子，我也是,[]
问题是，如果你走进市里，想走四段街段 这既无聊又低效,[]
持续性也低,[]
如果，在1998年的中国，四亿一千七百万人骑自行车 一百七十万人开车,"[('中国', 'ns', 5, 6)]"
如果当中百分之五的人成为了所谓的中产人士 并希望走我们在过去百年我们走过的路 同时当中一半人口每隔六周 迁入面积和密度跟曼哈顿一样城市 环境受不了 经济受不了，因为没有足够的石油 政治上也不可承受,"[('曼哈顿', 'ns', 35, 36)]"
我说的是，我们现在到底在争夺什么呢？,[]
我们可以把问题变得复杂，但世界现在到底在争夺什么呢？,[]
对我来说，有人要在最后路段上下工夫 幸运的是我们在研发iBOTs。 可是我们认为一旦研发成功 它会马上取代汽艇，你不需要水也可以开。,[]
或者可以替代雪上摩托，你不需要雪也可以开。,[]
或者滑雪，这是纯粹娱乐而己，大家还是喜爱四处玩耍的,[]
另外，当中所有行业之中 只有高尔夫车才是价值数以十亿美元计的行业,[]
